song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
4 Billion Souls,The Doors,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,audio_features,3UnyplmZaq547hwsfOR5yy,spotify:track:3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy,197707,4,0
#9 Dream,R.E.M.,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,audio_features,1VZedwJj1gyi88WFRhfThb,spotify:track:1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb,278320,4,0
#9 Dream,a-ha,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,audio_features,3DSmOF7ETJHAQEqqgoSJao,spotify:track:3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao,247067,4,0
11th Dimension,Julian Casablancas,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,audio_features,6i99ThziImjuFABb8rUQvy,spotify:track:6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy,243333,4,0
12:51,The Strokes,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,audio_features,0nkLI0pdyTRpq7BsTFBufZ,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/tracks/0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/audio-analysis/0nkLI0pdyTRpq7BsTFBufZ,153133,4,0
12:51,The Strokes,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4,0
15 Minutes,The Strokes,0.337,0.885,2,-3.566,1,0.0419,0.004,0.0378,0.141,0.389,83.001,audio_features,2XS4lIQ1bl9KSNsYtkqK46,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,https://api.spotify.com/v1/tracks/2XS4lIQ1bl9KSNsYtkqK46,https://api.spotify.com/v1/audio-analysis/2XS4lIQ1bl9KSNsYtkqK46,273133,3,0
96.7 The Pipe,Mac DeMarco,0.583,0.917,6,-8.96,0,0.567,0.493,0.0608,0.296,0.44,171.157,audio_features,3oQ52Mqz2ih8KjligVoQrG,spotify:track:3oQ52Mqz2ih8KjligVoQrG,https://api.spotify.com/v1/tracks/3oQ52Mqz2ih8KjligVoQrG,https://api.spotify.com/v1/audio-analysis/3oQ52Mqz2ih8KjligVoQrG,34014,4,0
400 Lux,Lorde,0.512,0.474,2,-8.36,1,0.0371,0.0787,0.00345,0.134,0.194,183.991,audio_features,7ynvnjTj1XI8ByUq3F8MUw,spotify:track:7ynvnjTj1XI8ByUq3F8MUw,https://api.spotify.com/v1/tracks/7ynvnjTj1XI8ByUq3F8MUw,https://api.spotify.com/v1/audio-analysis/7ynvnjTj1XI8ByUq3F8MUw,234286,4,0
2024,Cage The Elephant,0.243,0.984,10,-3.384,0,0.323,2.32e-05,0.00938,0.131,0.239,180.979,audio_features,7IcXkPWjwqUCCkI2mUf02h,spotify:track:7IcXkPWjwqUCCkI2mUf02h,https://api.spotify.com/v1/tracks/7IcXkPWjwqUCCkI2mUf02h,https://api.spotify.com/v1/audio-analysis/7IcXkPWjwqUCCkI2mUf02h,190333,4,0
A-Punk,Vampire Weekend,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993,audio_features,1595LW73XBxkRk2ciQOHfr,spotify:track:1595LW73XBxkRk2ciQOHfr,https://api.spotify.com/v1/tracks/1595LW73XBxkRk2ciQOHfr,https://api.spotify.com/v1/audio-analysis/1595LW73XBxkRk2ciQOHfr,137760,4,0
Aberdeen,Cage The Elephant,0.154,0.972,7,-3.626,1,0.111,0.000913,0.247,0.368,0.213,205.467,audio_features,6GWS0Nb3ybf3tQXZ0FlfZf,spotify:track:6GWS0Nb3ybf3tQXZ0FlfZf,https://api.spotify.com/v1/tracks/6GWS0Nb3ybf3tQXZ0FlfZf,https://api.spotify.com/v1/audio-analysis/6GWS0Nb3ybf3tQXZ0FlfZf,192920,4,0
Adult Diversion,Alvvays,0.327,0.948,8,-4.355,1,0.0711,0.0355,0.515,0.126,0.469,177.328,audio_features,22cDldSuj9rgIMXwn4Ofn0,spotify:track:22cDldSuj9rgIMXwn4Ofn0,https://api.spotify.com/v1/tracks/22cDldSuj9rgIMXwn4Ofn0,https://api.spotify.com/v1/audio-analysis/22cDldSuj9rgIMXwn4Ofn0,207640,4,0
Adventures in Your Own Backyard,Patrick Watson,0.353,0.547,5,-9.793,0,0.0364,0.126,0.116,0.323,0.213,146.043,audio_features,5MbRyPfgokD3c6nxCV7TFG,spotify:track:5MbRyPfgokD3c6nxCV7TFG,https://api.spotify.com/v1/tracks/5MbRyPfgokD3c6nxCV7TFG,https://api.spotify.com/v1/audio-analysis/5MbRyPfgokD3c6nxCV7TFG,291440,3,0
Ain't No Rest For The Wicked,Cage The Elephant,0.639,0.908,0,-5.575,1,0.138,0.0735,0.0,0.553,0.926,156.029,audio_features,1SfOQKZv0c9FqNXd2Kjt6P,spotify:track:1SfOQKZv0c9FqNXd2Kjt6P,https://api.spotify.com/v1/tracks/1SfOQKZv0c9FqNXd2Kjt6P,https://api.spotify.com/v1/audio-analysis/1SfOQKZv0c9FqNXd2Kjt6P,175467,4,0
