song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
7 Element,Vitas,0.727,0.785,5,-6.707,0,0.0603,0.325,0.126,0.31,0.96,129.649,audio_features,7J9mBHG4J2eIfDAv5BehKA,spotify:track:7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/tracks/7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/audio-analysis/7J9mBHG4J2eIfDAv5BehKA,249940,4,1
10 Lovers,The Black Keys,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,audio_features,5HPnumlogzZtpLEaORZjz1,spotify:track:5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1,213227,4,1
12 Bar Original - Anthology 2 Version,The Beatles,0.6,0.535,9,-8.178,1,0.0298,0.00154,0.102,0.123,0.566,122.678,audio_features,2HvTGx5fzFGpHSyRNvXd9T,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/tracks/2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/audio-analysis/2HvTGx5fzFGpHSyRNvXd9T,175080,4,1
15 Step,Radiohead,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,audio_features,6dsq7Nt5mIFzvm5kIYNORy,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,https://api.spotify.com/v1/tracks/6dsq7Nt5mIFzvm5kIYNORy,https://api.spotify.com/v1/audio-analysis/6dsq7Nt5mIFzvm5kIYNORy,237293,4,1
39,Vinnie Who,0.733,0.719,5,-8.776,0,0.0462,0.0609,0.108,0.0807,0.327,114.959,audio_features,2YTRLoG5jdzCp4yg3B6OnH,spotify:track:2YTRLoG5jdzCp4yg3B6OnH,https://api.spotify.com/v1/tracks/2YTRLoG5jdzCp4yg3B6OnH,https://api.spotify.com/v1/audio-analysis/2YTRLoG5jdzCp4yg3B6OnH,309787,4,1
50/50,The Strokes,0.491,0.93,11,-6.412,0,0.0347,4.23e-05,0.612,0.219,0.623,99.924,audio_features,5MPryR3oJGmWnSYM7X2GGE,spotify:track:5MPryR3oJGmWnSYM7X2GGE,https://api.spotify.com/v1/tracks/5MPryR3oJGmWnSYM7X2GGE,https://api.spotify.com/v1/audio-analysis/5MPryR3oJGmWnSYM7X2GGE,163227,4,1
50 Shades of Beige,Radio Radio,0.703,0.7,2,-6.152,1,0.135,0.049,0.0,0.365,0.512,119.966,audio_features,4ymUtICOpIlyvFf3URM7XZ,spotify:track:4ymUtICOpIlyvFf3URM7XZ,https://api.spotify.com/v1/tracks/4ymUtICOpIlyvFf3URM7XZ,https://api.spotify.com/v1/audio-analysis/4ymUtICOpIlyvFf3URM7XZ,208248,4,1
106.2 Breeze FM,Mac DeMarco,0.487,0.753,6,-10.533,0,0.306,0.665,0.00144,0.231,0.847,112.907,audio_features,5h8G81Ls00kyf1UEen0gBB,spotify:track:5h8G81Ls00kyf1UEen0gBB,https://api.spotify.com/v1/tracks/5h8G81Ls00kyf1UEen0gBB,https://api.spotify.com/v1/audio-analysis/5h8G81Ls00kyf1UEen0gBB,60642,4,1
1517,The Whitest Boy Alive,0.784,0.539,11,-7.676,0,0.0406,0.317,0.377,0.0989,0.962,122.53,audio_features,4wHh4AljzbSGMJvynLgK1q,spotify:track:4wHh4AljzbSGMJvynLgK1q,https://api.spotify.com/v1/tracks/4wHh4AljzbSGMJvynLgK1q,https://api.spotify.com/v1/audio-analysis/4wHh4AljzbSGMJvynLgK1q,221227,4,1
1990 (Danse Mix),Jean Leloup,0.6,0.939,2,-5.713,1,0.0746,0.000559,0.0,0.0947,0.648,121.846,audio_features,2UFEbNhbk9GsxCigXPq3XI,spotify:track:2UFEbNhbk9GsxCigXPq3XI,https://api.spotify.com/v1/tracks/2UFEbNhbk9GsxCigXPq3XI,https://api.spotify.com/v1/audio-analysis/2UFEbNhbk9GsxCigXPq3XI,308427,4,1
