song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
All I Need,Radiohead,0.668,0.477,4,-8.709,0,0.0358,0.517,0.446,0.139,0.0966,88.005,audio_features,51ygW389BW4Dut3B69pSwc,spotify:track:51ygW389BW4Dut3B69pSwc,https://api.spotify.com/v1/tracks/51ygW389BW4Dut3B69pSwc,https://api.spotify.com/v1/audio-analysis/51ygW389BW4Dut3B69pSwc,228747,4,2
All I've Ever Known,Bahamas,0.669,0.203,5,-11.059,1,0.0317,0.706,0.221,0.107,0.265,125.864,audio_features,0MOMLuhHqNgJ7uAceOPmfj,spotify:track:0MOMLuhHqNgJ7uAceOPmfj,https://api.spotify.com/v1/tracks/0MOMLuhHqNgJ7uAceOPmfj,https://api.spotify.com/v1/audio-analysis/0MOMLuhHqNgJ7uAceOPmfj,375973,4,2
All My Loving,Rita Lee,0.701,0.182,2,-17.068,1,0.0381,0.835,0.0276,0.109,0.125,117.885,audio_features,5dIZa3pwSn1vDenZpSBEFO,spotify:track:5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/tracks/5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/audio-analysis/5dIZa3pwSn1vDenZpSBEFO,185733,4,2
All Things Must Pass - Anthology 3 Version,The Beatles,0.492,0.231,9,-13.476,1,0.0368,0.972,6.16e-06,0.229,0.61,93.232,audio_features,25RYJGPnetSkV8le7TeJnR,spotify:track:25RYJGPnetSkV8le7TeJnR,https://api.spotify.com/v1/tracks/25RYJGPnetSkV8le7TeJnR,https://api.spotify.com/v1/audio-analysis/25RYJGPnetSkV8le7TeJnR,184987,3,2
All Time Favourite,Bahamas,0.378,0.254,7,-12.694,1,0.0399,0.891,0.00489,0.109,0.19,123.885,audio_features,7hneDPwMWHSDxFZTaiGbaT,spotify:track:7hneDPwMWHSDxFZTaiGbaT,https://api.spotify.com/v1/tracks/7hneDPwMWHSDxFZTaiGbaT,https://api.spotify.com/v1/audio-analysis/7hneDPwMWHSDxFZTaiGbaT,249320,4,2
All Waters,Perfume Genius,0.126,0.277,1,-12.954,0,0.0304,0.936,0.00212,0.345,0.0688,88.611,audio_features,6ZMu3XuSt70jbJa7OfHN7X,spotify:track:6ZMu3XuSt70jbJa7OfHN7X,https://api.spotify.com/v1/tracks/6ZMu3XuSt70jbJa7OfHN7X,https://api.spotify.com/v1/audio-analysis/6ZMu3XuSt70jbJa7OfHN7X,130200,4,2
All You Need Is Love - Remastered 2009,The Beatles,0.4,0.463,7,-8.455,1,0.0288,0.345,4.59e-05,0.286,0.627,103.103,audio_features,2Z8cY4QpZTFUZxCQCpvNe1,spotify:track:2Z8cY4QpZTFUZxCQCpvNe1,https://api.spotify.com/v1/tracks/2Z8cY4QpZTFUZxCQCpvNe1,https://api.spotify.com/v1/audio-analysis/2Z8cY4QpZTFUZxCQCpvNe1,231213,4,2
All You Need Is Love - Remastered 2009,The Beatles,0.389,0.436,7,-9.7,1,0.0295,0.343,3.2e-05,0.258,0.692,100.371,audio_features,6tzFM08UuwxhuftjfUqaQA,spotify:track:6tzFM08UuwxhuftjfUqaQA,https://api.spotify.com/v1/tracks/6tzFM08UuwxhuftjfUqaQA,https://api.spotify.com/v1/audio-analysis/6tzFM08UuwxhuftjfUqaQA,228653,4,2
All You Need Is Love - Remastered 2009,The Beatles,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,audio_features,68BTFws92cRztMS1oQ7Ewj,spotify:track:68BTFws92cRztMS1oQ7Ewj,https://api.spotify.com/v1/tracks/68BTFws92cRztMS1oQ7Ewj,https://api.spotify.com/v1/audio-analysis/68BTFws92cRztMS1oQ7Ewj,230387,4,2
Already Yours,Bahamas,0.64,0.291,0,-12.42,1,0.0419,0.619,0.304,0.114,0.538,123.456,audio_features,6gyUiLI8CLSy9UIAiHcJ2j,spotify:track:6gyUiLI8CLSy9UIAiHcJ2j,https://api.spotify.com/v1/tracks/6gyUiLI8CLSy9UIAiHcJ2j,https://api.spotify.com/v1/audio-analysis/6gyUiLI8CLSy9UIAiHcJ2j,125547,4,2
